"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p"
"group_9223","","hypothetical protein","501","104","13","50","97.4708171206","32.4675324675","18.5281065089","1.11399095608e-23","2.48542522211e-19","4.00875035824e-21"
"group_13131","","hypothetical protein","255","12","259","142","49.6108949416","92.2077922078","11.6505791506","1.16797435828e-23","2.60586759077e-19","4.00902706272e-21"
"group_13130","","hypothetical protein","255","12","259","142","49.6108949416","92.2077922078","11.6505791506","1.16797435828e-23","2.60586759077e-19","4.00902706272e-21"
"group_10901","","hypothetical protein","255","12","259","142","49.6108949416","92.2077922078","11.6505791506","1.16797435828e-23","2.60586759077e-19","4.00902706272e-21"
"group_9421","traS","Protein TraS","12","49","502","105","2.33463035019","68.1818181818","0.0512236767217","1.29002389083e-23","2.87817230283e-19","4.3608671255e-21"
"group_4443","","hypothetical protein","390","48","124","106","75.8754863813","68.8311688312","6.94556451613","1.37161148176e-23","3.06020237695e-19","4.56746623425e-21"
"group_3623","","IS630 family transposase ISEc40","8","45","506","109","1.55642023346","70.7792207792","0.0382960035134","1.46404798854e-23","3.26643746724e-19","4.80358451064e-21"
"traN","","Mating pair stabilization protein TraN","201","129","313","25","39.1050583658","16.2337662338","0.124452039527","1.59035960553e-23","3.54825131589e-19","5.14239321143e-21"
"group_6758","","hypothetical protein","259","13","255","141","50.3891050584","91.5584415584","11.0162895928","1.78890536181e-23","3.99122675274e-19","5.6399212005e-21"
"group_2714","","hypothetical protein","194","127","320","27","37.7431906615","17.5324675325","0.128887795276","1.82006331601e-23","4.06074326436e-19","5.6399212005e-21"
"group_3572","","hypothetical protein","194","127","320","27","37.7431906615","17.5324675325","0.128887795276","1.82006331601e-23","4.06074326436e-19","5.6399212005e-21"
"group_10642","nanE_1","putative N-acetylmannosamine-6-phosphate epimerase","28","61","486","93","5.44747081712","60.3896103896","0.0878364703501","2.17152382399e-23","4.84488680371e-19","6.63683123796e-21"
